Tree num,precision,recall,F1,MCC,AUC
60,0.880337351,0.83963665,0.859180474,0.727265711,0.863250691
80,0.87741528,0.837036506,0.85628273,0.721265481,0.860427086
100,0.879003057,0.840430912,0.858971417,0.725813488,0.862572979
120,0.882125478,0.839843971,0.860215449,0.728882763,0.864148335
140,0.884471948,0.841041193,0.862088189,0.732981735,0.866145081
160,0.881137495,0.838985564,0.859378594,0.727348845,0.863509229
180,0.887849682,0.837201278,0.861618765,0.733213698,0.865898178
200,0.881117917,0.834947697,0.857142315,0.724481691,0.861755442
220,0.886888196,0.842951584,0.864206458,0.736943407,0.868239742
240,0.878933324,0.833276214,0.85522975,0.719422017,0.859298727
260,0.884831873,0.834803051,0.858842431,0.727748933,0.863457678
280,0.885674526,0.836380407,0.860136726,0.729877573,0.864569718
300,0.88252506,0.838893523,0.859949776,0.728831389,0.864123139
320,0.884064219,0.837080056,0.859686742,0.72839169,0.863830654
340,0.889662902,0.842084356,0.865101092,0.739262755,0.869320533
360,0.889705747,0.837383846,0.862670804,0.735565582,0.867287251
380,0.885763892,0.837483001,0.860834526,0.731079633,0.865171394
400,0.888734914,0.838410894,0.862616976,0.735135839,0.867137153
420,0.885028656,0.838304516,0.860847938,0.731160685,0.86522503
440,0.889659325,0.837056817,0.862294869,0.735397028,0.86731456
460,0.888332677,0.835734789,0.860965546,0.732352716,0.86574077
480,0.886939658,0.838225843,0.861787782,0.733283615,0.866278686
500,0.887349317,0.839700278,0.862746193,0.734730932,0.866989045
